match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
19,Gujarat Titans,B Sai Sudharsan,1,0,0,0,2
19,Gujarat Titans,Shubman Gill,2,1,0,0,3
19,Gujarat Titans,JC Buttler,3,0,1,0,4
19,Gujarat Titans,Washington Sundar,4,0,0,0,5
19,Gujarat Titans,R Tewatia,5,0,0,0,6
19,Gujarat Titans,GD Phillips,,0,0,0,7
19,Gujarat Titans,Rashid Khan,,0,0,0,8
19,Gujarat Titans,K Rabada,,0,0,0,9
19,Gujarat Titans,Ashok Sharma,,0,0,0,10
19,Gujarat Titans,M Prasidh Krishna,,0,0,0,11
19,Gujarat Titans,M Shahrukh Khan,,0,0,1,12
